,Source,Compound,Negative,Neutral,Positive,Time,Tweet Text
74,@BBC,-0.4939,0.185,0.727,0.088,Mon Apr 02 12:52:58 +0000 2018,RT @thecrezz: The @BBC have effectively acted as censor. This is not what they were set up to do. The news section in particuar has badly l…
75,@BBC,0.9607,0.0,0.452,0.548,Mon Apr 02 12:52:50 +0000 2018,RT @rioferdy5: Delighted to win best single documentary at the #RTSawards thank you for all your messages... Special thanks to everyone at…
76,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:52:48 +0000 2018,RT @mcnaughton_neil: @Rog_Anderson @ScotWedPhotos @BBCScotlandNews @BBCGaryR @BBC Just do it people https://t.co/gBSwAgNQwT
77,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:52:21 +0000 2018,"RT @Martadpp: 👀👀📽📽 Esto es lo que realmente sucede. 

▶️Los que se saltaron las leyes fueron los políticos independentistas

▶️Desde el Gob…"
78,@BBC,-0.5994,0.187,0.813,0.0,Mon Apr 02 12:52:19 +0000 2018,"RT @Salemalsalami84: ""War on #Yemen leaves children on the brink of famine"" Documentary by @BBC #Yemen
#3YearsOfSuffering
#3YearsOfWarOnYem…"
79,@BBC,0.4019,0.0,0.876,0.124,Mon Apr 02 12:52:15 +0000 2018,RT Time for @BBC producers to appear before cross party committees in @ScotParl and @UKParliament to answer to bias… https://t.co/4Xu9T2wWmc
80,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:52:08 +0000 2018,@iMac_too @SushmaSwaraj This B-BC is trying to divide our country. Saw such reports in BBC hindi too. High time… https://t.co/mvXqKRFcS9
81,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:52:08 +0000 2018,"This is Spain today
@Reuters
@ReutersWorld
@guardian
@Telegraph
@daily
@NZZ
@berlinerzeitung
@TheEconomist… https://t.co/S3zmq2NxRZ"
82,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:52:00 +0000 2018,RT @ken_sugar: そういえば10年ほど前に英BBCがスクープしたペンギンたちが空を飛ぶ映像を収めたドキュメンタリー超感動した。マスコミは #エイプリルフール に乗じ寒い「#フェイクニュース」を流すのではなく、こういう知られざる動物たちの真の生態などを伝えてほしいと思…
83,@BBC,0.4019,0.0,0.863,0.137,Mon Apr 02 12:51:41 +0000 2018,@MrJohnNicolson Time for @BBC producers to appear before cross party committees in @ScotParl and @UKParliament to a… https://t.co/84PiBxXTgn
84,@BBC,-0.2144,0.106,0.828,0.067,Mon Apr 02 12:51:34 +0000 2018,"RT @Animal_Watch: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheH…"
